pair	gene_name_a	gene_name_b	contact_probability	pDockQ	PPV_from_pDockQ	model_confidence	iPAE	CCC	orf_name_a	orf_name_b	MAPPIT_result	GPCA_result	novel	no_previous_structure
YGR057C_YLR376C	LST7	PSY3	0.8545134	0.187	0.74006263	0.5347745013294858	9.751696	0	YGR057C	YLR376C	False	False	True	True
YER016W_YNL073W	BIM1	MSK1	0.5001006	0.089	0.66728511	0.3665336487687768	28.059559	0	YER016W	YNL073W	False	False	True	True
YGR102C_YMR293C	GTF1	HER2	0.9998629	0.717	0.98128027	0.8898613630706996	4.609009	223	YGR102C	YMR293C	False	False	False	False
YER143W_YLR203C	DDI1	MSS51	0.38815498	0.118	0.68635536	0.2722079905893867	27.819065	0	YER143W	YLR203C	False	False	True	True
YDL089W_YDR375C	NUR1	BCS1	0.3854689	0.04	0.63555449	0.2669197351239435	23.352291	0	YDL089W	YDR375C	False	False	True	True
YBR282W_YGR158C	MRPL27	MTR3	0.25206798	0.025	0.55890174	0.21617557661266945	28.857393	0	YBR282W	YGR158C	False	False	True	True
YBL066C_YPR040W	SEF1	TIP41	0.6928201	0.055	0.63555449	0.432435300691977	24.557291	0	YBL066C	YPR040W	False	False	True	True
YDR311W_YGR005C	TFB1	TFG2	0.96426874	0.138	0.70615739	0.2920347805350454	28.576672	28	YDR311W	YGR005C	False	False	True	True
YGL209W_YML012W	MIG2	ERV25	0.9123427	0.101	0.68635536	0.44568627399934524	21.43721	0	YGL209W	YML012W	False	False	True	True
YLR233C_YOR287C	EST1	RRP36	0.78833055	0.148	0.71391784	0.32773684029673417	26.971836	0	YLR233C	YOR287C	False	False	True	True
YNL189W_YOR023C	SRP1	AHC1	0.87878954	0.342	0.83367787	0.5765401711630933	15.321544	4	YNL189W	YOR023C	False	False	True	True
YKR019C_YML064C	IRS4	TEM1	0.82511455	0.147	0.71391784	0.435106789266226	25.067715	0	YKR019C	YML064C	False	False	True	True
YCL005W-A_YNL125C	VMA9	ESBP6	0.60482204	0.095	0.66728511	0.40130709824208327	20.66386	0	YCL005W-A	YNL125C	False	False	True	True
YBR167C_YDL159W	POP7	STE7	0.61925304	0.061	0.63555449	0.3707658122587974	20.180437	0	YBR167C	YDL159W	False	False	True	True
YDR319C_YGL209W	YFT2	MIG2	0.9058051	0.17	0.73044282	0.40207336857412257	14.347755	0	YDR319C	YGL209W	False	False	True	True
YDR375C_YOR285W	BCS1	RDL1	0.3096317	0.123	0.70615739	0.21918391029466158	24.121971	0	YDR375C	YOR285W	False	False	True	True
YDR517W_YPR113W	GRH1	PIS1	0.6912787	0.203	0.75941223	0.29352876124760574	27.392874	0	YDR517W	YPR113W	False	False	True	True
YGR048W_YLR328W	UFD1	NMA1	0.2678013	0.071	0.66728511	0.19848901155900045	26.982689	0	YGR048W	YLR328W	False	False	True	True
YBR270C_YGL209W	BIT2	MIG2	0.5117581	0.044	0.63555449	0.24873678454927162	29.839493	0	YBR270C	YGL209W	False	False	True	True
YBR103W_YLR407W	SIF2	YLR407W	0.7559742	0.111	0.68635536	0.2906397677211391	26.15176	0	YBR103W	YLR407W	False	False	True	True
YGL252C_YOR385W	RTG2	YOR385W	0.57763445	0.142	0.71391784	0.3465722708300568	23.103485	0	YGL252C	YOR385W	False	False	True	True
YML048W_YPR159W	GSF2	KRE6	0.5163342	0.286	0.80223507	0.34485508897000494	18.005058	0	YML048W	YPR159W	False	False	True	True
YGR028W_YNL189W	MSP1	SRP1	0.1310947	0.2	0.75941223	0.24716250145667404	29.13852	0	YGR028W	YNL189W	False	False	True	True
YGR146C_YML051W	ECL1	GAL80	0.74612397	0.15	0.71391784	0.3482392134706088	25.446873	0	YGR146C	YML051W	False	False	False	False
YDR142C_YNL334C	PEX7	SNO2	0.71201134	0.113	0.68635536	0.36901481065495156	19.20569	0	YDR142C	YNL334C	False	False	True	True
YDR320C-A_YLL049W	DAD4	LDB18	0.9601612	0.078	0.66728511	0.406767521747748	14.120209	0	YDR320C-A	YLL049W	False	False	False	True
YCR068W_YMR153W	ATG15	NUP53	0.6471609	0.057	0.63555449	0.3165292962672024	28.497746	0	YCR068W	YMR153W	False	False	True	True
YDL242W_YLR315W	YDL242W	NKP2	0.6341634	0.039	0.63555449	0.20769948596505466	19.311604	0	YDL242W	YLR315W	False	False	True	True
YNL147W_YPR182W	LSM7	SMX3	0.99963987	0.513	0.90043139	0.8190752919744806	1.9521735	61	YNL147W	YPR182W	False	False	False	True
YLR423C_YPL166W	ATG17	ATG29	0.9800732	0.475	0.88570037	0.629498953055699	10.647425	49	YLR423C	YPL166W	False	False	False	True
YDL098C_YJR046W	SNU23	TAH11	0.9099662	0.13	0.70615739	0.4446087312657398	10.1892805	0	YDL098C	YJR046W	False	False	True	True
YGR035C_YLR288C	YGR035C	MEC3	0.86842024	0.26	0.78549007	0.4937657705660668	19.824415	0	YGR035C	YLR288C	False	False	True	True
YIL062C_YML095C	ARC15	RAD10	0.48373848	0.084	0.66728511	0.21892340161337223	19.560104	0	YIL062C	YML095C	False	False	True	True
YML031W_YNR039C	NDC1	ZRG17	0.7599133	0.187	0.74006263	0.40022699148807017	23.540194	0	YML031W	YNR039C	False	False	True	True
YDL087C_YJR003C	LUC7	MRX12	0.93642926	0.323	0.82238224	0.6088315071051487	9.279633	2	YDL087C	YJR003C	False	False	True	True
YDR395W_YML094W	SXM1	GIM5	0.6336045	0.219	0.77766077	0.4834735122558766	21.235044	0	YDR395W	YML094W	False	False	True	True
YJR128W_YLR291C	YJR128W	GCD7	0.34781694	0.069	0.63555449	0.2990402492258809	24.981657	0	YJR128W	YLR291C	False	False	True	True
YER170W_YNL189W	ADK2	SRP1	0.1788888	0.05	0.63555449	0.29199636018677066	25.021557	0	YER170W	YNL189W	False	False	True	True
YGL054C_YJR010C-A	ERV14	SPC1	0.84553874	0.031	0.63555449	0.2863943552208372	12.600602	0	YGL054C	YJR010C-A	False	False	True	True
YLR291C_YMR267W	GCD7	PPA2	0.9129574	0.235	0.77766077	0.6372169632858963	6.883742	0	YLR291C	YMR267W	False	False	True	True
YGR198W_YLR264W	YPP1	RPS28B	0.4247576	0.057	0.63555449	0.4890761519294743	17.599566	0	YGR198W	YLR264W	False	False	False	True
YKL108W_YNL193W	SLD2	YNL193W	0.9318913	0.316	0.82238224	0.6586546395246576	27.691158	1	YKL108W	YNL193W	False	False	True	True
YNL189W_YOR279C	SRP1	RFM1	0.7712041	0.062	0.63555449	0.29986645700576575	25.715881	0	YNL189W	YOR279C	False	False	True	True
YIL018W_YKL075C	RPL2B	YKL075C	0.7226665	0.184	0.74006263	0.4343018176971509	20.532877	0	YIL018W	YKL075C	False	False	True	True
YGL112C_YPL077C	TAF6	YPL077C	0.2337774	0.02	0.55890174	0.1924590864912106	23.89827	0	YGL112C	YPL077C	False	False	True	True
YDR292C_YKL154W	SRP101	SRP102	0.99966407	0.659	0.98128027	0.8160224706140635	3.7820473	112	YDR292C	YKL154W	False	False	False	False
YGR210C_YNL072W	YGR210C	RNH201	0.39706194	0.059	0.63555449	0.26158453180682606	25.314316	0	YGR210C	YNL072W	False	False	True	True
YLR234W_YPL024W	TOP3	RMI1	0.9982723	0.573	0.92420274	0.8239379669559096	7.0639753	58	YLR234W	YPL024W	True	True	False	False
YJR003C_YPL151C	MRX12	PRP46	0.27728185	0.182	0.74006263	0.24612829464350844	26.963331	0	YJR003C	YPL151C	False	False	True	True
YGL044C_YOR023C	RNA15	AHC1	0.48602653	0.109	0.68635536	0.18235475207577084	25.931309	0	YGL044C	YOR023C	False	False	True	True
YLR368W_YNL204C	MDM30	SPS18	0.61804795	0.135	0.70615739	0.41192411519020483	21.131405	0	YLR368W	YNL204C	False	False	True	True
YDL044C_YDL087C	MTF2	LUC7	0.84193987	0.189	0.74006263	0.4620188884262753	13.456716	0	YDL044C	YDL087C	False	False	True	True
YNL264C_YPL272C	PDR17	PBI1	0.6408728	0.143	0.71391784	0.4949843553474561	18.60372	0	YNL264C	YPL272C	True	False	False	True
YER112W_YLR264W	LSM4	RPS28B	0.9910993	0.298	0.81190228	0.6658151292032989	5.9099455	33	YER112W	YLR264W	False	False	False	True
YAL054C_YLR049C	ACS1	YLR049C	0.81372833	0.265	0.78549007	0.580912387944454	21.203941	0	YAL054C	YLR049C	True	False	True	True
YBR228W_YML064C	SLX1	TEM1	0.27815533	0.094	0.66728511	0.23695684923615118	26.493225	0	YBR228W	YML064C	False	False	True	True
YML125C_YNR039C	PGA3	ZRG17	0.54038966	0.101	0.68635536	0.29234472757668994	24.896725	0	YML125C	YNR039C	False	False	True	True
YLR356W_YNR022C	ATG33	MRPL50	0.44829866	0.027	0.55890174	0.1676893788771129	27.704674	0	YLR356W	YNR022C	False	False	True	True
YNL086W_YPR105C	SNN1	COG4	0.3512657	0.053	0.63555449	0.29399354676365075	24.427124	0	YNL086W	YPR105C	False	False	True	True
YBR195C_YPR018W	MSI1	RLF2	0.9999868	0.725	0.98128027	0.8547700191115508	3.2072206	286	YBR195C	YPR018W	True	True	False	True
YIR018W_YOR185C	YAP5	GSP2	0.6390228	0.057	0.63555449	0.3435129804807849	23.565605	0	YIR018W	YOR185C	False	False	True	True
YGL121C_YMR210W	GPG1	MGL2	0.32273996	0.05	0.63555449	0.34029171852436624	24.074219	0	YGL121C	YMR210W	False	False	True	True
YNL037C_YOR136W	IDH1	IDH2	0.99990225	0.706	0.98128027	0.8983378100456356	2.5806968	137	YNL037C	YOR136W	False	False	False	False
YGL017W_YLR409C	ATE1	UTP21	0.25253463	0.022	0.55890174	0.25173763577931974	27.185442	0	YGL017W	YLR409C	False	False	True	True
YBR122C_YGL115W	MRPL36	SNF4	0.8538821	0.193	0.74006263	0.5497254189413449	12.78018	0	YBR122C	YGL115W	False	False	True	True
YAR007C_YJL173C	RFA1	RFA3	0.99518734	0.251	0.78549007	0.8019431438279501	2.5567951	22	YAR007C	YJL173C	False	False	False	False
YGL007C-A_YGL209W	YGL007C-A	MIG2	0.67120016	0.022	0.55890174	0.2414254986793951	21.2106	0	YGL007C-A	YGL209W	False	False	True	True
YBR282W_YMR168C	MRPL27	CEP3	0.102580115	0.021	0.55890174	0.27918274206376215	27.900965	0	YBR282W	YMR168C	False	False	True	True
YDR473C_YPR178W	PRP3	PRP4	0.99933493	0.669	0.98128027	0.7250419087503517	7.9754043	154	YDR473C	YPR178W	True	True	False	False
YBR203W_YOL054W	COS111	PSH1	0.683976	0.088	0.66728511	0.30360690577405414	29.208717	0	YBR203W	YOL054W	False	False	True	True
YJR010C-A_YLR433C	SPC1	CNA1	0.90980077	0.224	0.77766077	0.5907703023538138	9.603643	1	YJR010C-A	YLR433C	False	False	True	True
YER146W_YLR275W	LSM5	SMD2	0.9985022	0.526	0.90952562	0.8639759492907414	3.7667794	50	YER146W	YLR275W	False	False	False	False
YIR017C_YPR083W	MET28	MDM36	0.41346192	0.066	0.63555449	0.2668322862446532	25.906736	0	YIR017C	YPR083W	False	False	True	True
YLL018C-A_YML051W	COX19	GAL80	0.41040605	0.122	0.70615739	0.31481660745647855	24.198488	0	YLL018C-A	YML051W	False	False	True	True
YHR170W_YML051W	NMD3	GAL80	0.18441832	0.303	0.81190228	0.2461762095193616	28.478893	0	YHR170W	YML051W	False	False	True	True
YFR015C_YPL173W	GSY1	MRPL40	0.2917099	0.109	0.68635536	0.26234263177408873	26.544361	0	YFR015C	YPL173W	False	False	True	True
YBR061C_YMR055C	TRM7	BUB2	0.83313733	0.174	0.73044282	0.5370976112253752	14.68728	0	YBR061C	YMR055C	False	False	True	True
YGL113W_YOL054W	SLD3	PSH1	0.7106661	0.095	0.66728511	0.2921337535893424	26.85767	0	YGL113W	YOL054W	False	False	True	True
YGR143W_YOL002C	SKN1	IZH2	0.4468133	0.2	0.75941223	0.30712811880084495	28.01984	0	YGR143W	YOL002C	False	True	True	True
YAL044W-A_YIR018W	BOL1	YAP5	0.32377353	0.0	0.0	0.45821972708039466	50.0	0	YAL044W-A	YIR018W	False	False	True	True
YLR119W_YPL065W	SRN2	VPS28	0.97267056	0.344	0.83367787	0.6767704703411126	7.8812222	30	YLR119W	YPL065W	False	False	False	False
YDR121W_YJL065C	DPB4	DLS1	0.99999815	0.719	0.98128027	0.6312366147001816	1.9270835	168	YDR121W	YJL065C	True	False	False	False
YIL065C_YML030W	FIS1	RCF1	0.60406667	0.045	0.63555449	0.28352438397665475	25.996468	0	YIL065C	YML030W	False	False	True	True
YGR048W_YHR113W	UFD1	APE4	0.49888664	0.162	0.73044282	0.2973153130746932	29.186188	0	YGR048W	YHR113W	False	False	True	True
YMR032W_YOL128C	HOF1	YGK3	0.2786641	0.094	0.66728511	0.24464021847001904	25.036577	0	YMR032W	YOL128C	False	False	True	True
YHL006C_YKL183W	SHU1	LOT5	0.9994996	0.254	0.78549007	0.8239021547793444	7.6263523	38	YHL006C	YKL183W	False	False	True	True
YGR048W_YLR345W	UFD1	YLR345W	0.9020889	0.115	0.68635536	0.6424884144055523	21.241287	0	YGR048W	YLR345W	False	False	True	True
YML064C_YOR060C	TEM1	SLD7	0.7752297	0.185	0.74006263	0.48379517779939984	13.660832	0	YML064C	YOR060C	False	False	True	True
YDR357C_YEL005C	CNL1	VAB2	0.99087095	0.472	0.88570037	0.4978719173902754	6.0337486	53	YDR357C	YEL005C	False	False	False	True
YKR092C_YLR197W	SRP40	NOP56	0.16270569	0.019	0.55890174	0.21605574709928402	29.98293	0	YKR092C	YLR197W	False	False	False	True
YDR468C_YML088W	TLG1	UFO1	0.5371897	0.073	0.66728511	0.2721725457974563	27.513432	0	YDR468C	YML088W	False	False	True	True
YBL006C_YJR011C	LDB7	YJR011C	0.47459033	0.074	0.66728511	0.24689071740779206	22.850388	0	YBL006C	YJR011C	False	False	True	True
YML094W_YOR185C	GIM5	GSP2	0.32198438	0.127	0.70615739	0.28255484986252816	19.851662	0	YML094W	YOR185C	False	False	True	True
YLR368W_YOR057W	MDM30	SGT1	0.36223197	0.105	0.68635536	0.26946769301684353	28.433914	0	YLR368W	YOR057W	False	False	True	True
YLR052W_YMR055C	IES3	BUB2	0.8915423	0.178	0.74006263	0.6144555854233946	12.314333	0	YLR052W	YMR055C	False	False	True	True
YDR364C_YLR233C	CDC40	EST1	0.2768016	0.318	0.82238224	0.24575497117865064	29.775894	0	YDR364C	YLR233C	False	False	True	True
YJL031C_YJL036W	BET4	SNX4	0.6796869	0.042	0.63555449	0.44197692238524455	15.933563	0	YJL031C	YJL036W	False	False	True	True
YGL176C_YPR110C	YGL176C	RPC40	0.15536377	0.226	0.77766077	0.2354901308657782	26.73455	0	YGL176C	YPR110C	False	False	True	True
YNL147W_YOR159C	LSM7	SME1	0.9995925	0.504	0.90043139	0.8431555723315489	2.8755865	66	YNL147W	YOR159C	False	False	True	True
YBL090W_YML088W	MRP21	UFO1	0.4270138	0.068	0.63555449	0.27673695462031994	26.913181	0	YBL090W	YML088W	False	False	True	True
YDR228C_YOR250C	PCF11	CLP1	0.999649	0.696	0.98128027	0.8618079257949068	5.7940907	220	YDR228C	YOR250C	False	True	False	False
YDL098C_YOR226C	SNU23	ISU2	0.33666104	0.067	0.63555449	0.21376283869349136	22.280994	0	YDL098C	YOR226C	False	False	True	True
YDL097C_YLR408C	RPN6	BLS1	0.51020235	0.043	0.63555449	0.3186779312710645	19.047165	0	YDL097C	YLR408C	False	False	True	True
YJR010C-A_YLR268W	SPC1	SEC22	0.65820384	0.03	0.63555449	0.271361172483933	20.643532	0	YJR010C-A	YLR268W	False	False	True	True
YDR373W_YJL174W	FRQ1	KRE9	0.8818017	0.105	0.68635536	0.4291415245520594	20.558002	0	YDR373W	YJL174W	False	False	True	True
YGR268C_YLL039C	HUA1	UBI4	0.18679768	0.069	0.63555449	0.15548292337102876	25.474422	0	YGR268C	YLL039C	False	False	True	True
YHR170W_YPL070W	NMD3	MUK1	0.3408714	0.122	0.70615739	0.23155311005234652	27.882605	0	YHR170W	YPL070W	False	False	True	True
YDR484W_YPR031W	VPS52	NTO1	0.80877507	0.153	0.71391784	0.4993601488815405	27.967793	0	YDR484W	YPR031W	False	False	True	True
YBR103W_YJR141W	SIF2	IPA1	0.24378699	0.148	0.71391784	0.25061651650290917	26.85373	0	YBR103W	YJR141W	False	False	True	True
YCR060W_YGR237C	TAH1	YGR237C	0.4434611	0.038	0.63555449	0.3041428278774049	25.663488	0	YCR060W	YGR237C	False	False	True	True
YGR168C_YOL147C	YGR168C	PEX11	0.9454735	0.089	0.66728511	0.7107275242172869	8.581278	17	YGR168C	YOL147C	False	False	False	True
YBL098W_YNL100W	BNA4	MIC27	0.5546777	0.065	0.63555449	0.2983962564912566	24.447657	0	YBL098W	YNL100W	False	False	True	True
YER003C_YGL017W	PMI40	ATE1	0.14690202	0.34	0.83367787	0.23002025886384758	26.007095	0	YER003C	YGL017W	False	False	True	True
YNL125C_YNL146W	ESBP6	YNL146W	0.27560335	0.075	0.66728511	0.3209678587717597	22.969063	0	YNL125C	YNL146W	False	False	True	True
YKL012W_YOR368W	PRP40	RAD17	0.28826815	0.05	0.63555449	0.2235563585996029	27.831049	0	YKL012W	YOR368W	False	False	True	True
YGR168C_YGR177C	YGR168C	ATF2	0.24068522	0.265	0.78549007	0.29456949974674174	27.06303	0	YGR168C	YGR177C	False	False	True	True
YHR159W_YML064C	TDA11	TEM1	0.7661999	0.102	0.68635536	0.45175960120329367	25.16353	0	YHR159W	YML064C	False	False	True	True
YGR146C_YPL070W	ECL1	MUK1	0.80911857	0.063	0.63555449	0.40290370364511774	19.529354	0	YGR146C	YPL070W	False	False	True	True
YGR119C_YKL057C	NUP57	NUP120	0.80706835	0.081	0.66728511	0.5125923330784437	10.775007	0	YGR119C	YKL057C	False	False	False	True
YGL019W_YLL027W	CKB1	ISA1	0.59926254	0.046	0.63555449	0.24783422286086387	26.71027	0	YGL019W	YLL027W	False	False	True	True
YKL029C_YLR347C	MAE1	KAP95	0.6342312	0.591	0.93172991	0.32649378943998386	29.281475	0	YKL029C	YLR347C	True	False	True	True
YOR069W_YOR132W	VPS5	VPS17	0.9997698	0.6	0.93172991	0.7485597141781225	4.195485	137	YOR069W	YOR132W	False	True	False	False
YFL027C_YNL100W	GYP8	MIC27	0.42017496	0.068	0.63555449	0.26820968884700847	25.537697	0	YFL027C	YNL100W	False	False	True	True
YLR038C_YLR291C	COX12	GCD7	0.56952035	0.146	0.71391784	0.33110661739195124	21.148708	0	YLR038C	YLR291C	False	False	True	True
YLR274W_YPL262W	MCM5	FUM1	0.080708124	0.0	0.0	0.22499888819805441	50.0	0	YLR274W	YPL262W	False	False	True	True
YCR086W_YPL093W	CSM1	NOG1	0.4935366	0.07	0.63555449	0.26065061486962365	27.072832	0	YCR086W	YPL093W	False	False	False	True
YHR008C_YLR291C	SOD2	GCD7	0.2625121	0.053	0.63555449	0.23165497304719418	23.97514	0	YHR008C	YLR291C	False	False	True	True
YKR022C_YPR083W	NTR2	MDM36	0.9762883	0.17	0.73044282	0.5647409177602211	22.01476	23	YKR022C	YPR083W	False	False	True	True
YHL006C_YML064C	SHU1	TEM1	0.29860422	0.164	0.73044282	0.23890354677947587	24.34066	0	YHL006C	YML064C	False	False	True	True
YGR168C_YJL136C	YGR168C	RPS21B	0.13142145	0.02	0.55890174	0.18692957568192253	25.99395	0	YGR168C	YJL136C	False	False	True	True
YLR274W_YNL075W	MCM5	IMP4	0.10651608	0.0	0.0	0.22812688980911644	50.0	0	YLR274W	YNL075W	False	False	True	True
YIR024C_YLR315W	INA22	NKP2	0.7522464	0.04	0.63555449	0.21586942235841555	25.627655	0	YIR024C	YLR315W	True	False	True	True
YAL054C_YAR035W	ACS1	YAT1	0.49415094	0.292	0.80223507	0.3104706284928479	27.330997	0	YAL054C	YAR035W	False	True	False	True
YCR075W-A_YEL020W-A	EGO2	TIM9	0.99968046	0.317	0.82238224	0.8183629501835366	2.1538053	37	YCR075W-A	YEL020W-A	False	True	True	True
YGR048W_YJL110C	UFD1	GZF3	0.31917426	0.05	0.63555449	0.18693044187861166	30.860718	0	YGR048W	YJL110C	False	False	True	True
YLR315W_YLR433C	NKP2	CNA1	0.4152992	0.029	0.55890174	0.26094353950217464	21.829874	0	YLR315W	YLR433C	False	False	True	True
YOR368W_YPL002C	RAD17	SNF8	0.316198	0.21	0.75941223	0.24490137980721477	23.741543	0	YOR368W	YPL002C	False	False	True	True
YLR288C_YML024W	MEC3	RPS17A	0.7205893	0.202	0.75941223	0.37060686767892864	20.582205	0	YLR288C	YML024W	False	False	True	True
YML054C-A_YPL070W	YML054C-A	MUK1	0.7322643	0.059	0.63555449	0.4775140826899058	20.360844	0	YML054C-A	YPL070W	False	False	True	True
YHR113W_YNL078W	APE4	NIS1	0.10881406	0.027	0.55890174	0.2292308053946408	25.525616	0	YHR113W	YNL078W	False	False	True	True
YDL232W_YER083C	OST4	GET2	0.7671952	0.054	0.63555449	0.313067677468961	15.764421	0	YDL232W	YER083C	False	False	True	True
YDR295C_YER180C-A	HDA2	SLO1	0.63470393	0.033	0.63555449	0.3874156159320718	26.165922	0	YDR295C	YER180C-A	False	False	True	True
YDL087C_YMR293C	LUC7	HER2	0.76982784	0.216	0.75941223	0.6057273804958972	25.037197	0	YDL087C	YMR293C	False	False	True	True
YGR268C_YPL002C	HUA1	SNF8	0.5628587	0.08	0.66728511	0.20969499330220973	20.840576	0	YGR268C	YPL002C	False	False	True	True
YAL039C_YGR142W	CYC3	BTN2	0.713173	0.202	0.75941223	0.38153023377537937	21.04037	0	YAL039C	YGR142W	False	False	True	True
YDR160W_YJL057C	SSY1	IKS1	0.7087549	0.066	0.63555449	0.41605768342184074	26.063148	0	YDR160W	YJL057C	False	False	True	True
YDL166C_YPL268W	FAP7	PLC1	0.7095278	0.116	0.68635536	0.5081013166436261	25.025757	0	YDL166C	YPL268W	False	False	True	True
YHR181W_YOR181W	SVP26	LAS17	0.36858848	0.078	0.66728511	0.22079633800689574	20.925476	0	YHR181W	YOR181W	False	False	True	True
YLR213C_YLR288C	CRR1	MEC3	0.5175297	0.217	0.75941223	0.3128337124434546	26.264776	0	YLR213C	YLR288C	False	False	True	True
YJL023C_YOR229W	PET130	WTM2	0.20219582	0.121	0.70615739	0.2537844937547368	26.567236	0	YJL023C	YOR229W	False	True	True	True
YJL036W_YNL086W	SNX4	SNN1	0.6724462	0.051	0.63555449	0.396836301270126	10.396978	0	YJL036W	YNL086W	False	False	False	True
YOR015W_YPR170W-B	YOR015W	YPR170W-B	0.7646894	0.039	0.63555449	0.2715245905790826	18.49618	0	YOR015W	YPR170W-B	False	False	True	True
YJR003C_YJR050W	MRX12	ISY1	0.4595643	0.067	0.63555449	0.25902356519651415	27.487345	0	YJR003C	YJR050W	False	False	True	True
YJL006C_YML112W	CTK2	CTK3	0.9979465	0.605	0.9400192	0.8224218146841977	3.3885696	115	YJL006C	YML112W	True	False	False	False
YCL009C_YML088W	ILV6	UFO1	0.37127164	0.085	0.66728511	0.25538165330354246	29.45619	0	YCL009C	YML088W	False	False	True	True
YCL056C_YMR256C	PEX34	COX7	0.7771467	0.057	0.63555449	0.3034678612252897	12.170084	0	YCL056C	YMR256C	False	False	False	True
YJL187C_YOL029C	SWE1	YOL029C	0.24174343	0.064	0.63555449	0.23147956294089012	25.869253	0	YJL187C	YOL029C	False	False	True	True
YDR375C_YPR028W	BCS1	YOP1	0.38865736	0.03	0.63555449	0.259637307203179	20.690414	0	YDR375C	YPR028W	False	False	True	True
YEL041W_YLR347C	YEF1	KAP95	0.20929547	0.543	0.91629946	0.26484458399164396	29.679098	0	YEL041W	YLR347C	False	False	True	True
YJL163C_YNL146W	YJL163C	YNL146W	0.62450296	0.105	0.68635536	0.4076860884539793	19.72741	0	YJL163C	YNL146W	False	False	True	True
YIR010W_YKR027W	DSN1	BCH2	0.7741991	0.063	0.63555449	0.4366234252141571	28.424973	0	YIR010W	YKR027W	False	False	True	True
YDR059C_YER068W	UBC5	MOT2	0.99794966	0.597	0.93172991	0.8101238395190112	3.683239	73	YDR059C	YER068W	False	False	False	False
YHL021C_YOR210W	AIM17	RPB10	0.525739	0.049	0.63555449	0.42610301289319	13.895245	0	YHL021C	YOR210W	False	False	False	True
YDL097C_YDR179C	RPN6	CSN9	0.5786607	0.211	0.75941223	0.36193191532900304	19.251133	0	YDL097C	YDR179C	False	False	True	True
YNR039C_YPR170W-B	ZRG17	YPR170W-B	0.65978324	0.028	0.55890174	0.3264086698176115	14.319609	0	YNR039C	YPR170W-B	False	False	True	True
YIR010W_YLR347C	DSN1	KAP95	0.7271075	0.392	0.86040801	0.5403851550854282	25.321693	0	YIR010W	YLR347C	False	False	True	True
YLL049W_YLR423C	LDB18	ATG17	0.49929768	0.05	0.63555449	0.26361950513473953	23.464222	0	YLL049W	YLR423C	True	False	True	True
YBL043W_YOR304C-A	ECM13	BIL1	0.73801154	0.036	0.63555449	0.1837560993045097	17.737421	0	YBL043W	YOR304C-A	False	False	True	True
YHR025W_YNL078W	THR1	NIS1	0.25118577	0.027	0.55890174	0.2375717077761631	25.37669	0	YHR025W	YNL078W	False	False	True	True
YDR175C_YER094C	RSM24	PUP3	0.43790835	0.032	0.63555449	0.2908692967157774	16.594736	0	YDR175C	YER094C	False	False	True	True
YDR295C_YLR315W	HDA2	NKP2	0.3731111	0.078	0.66728511	0.2668398421618835	23.102024	0	YDR295C	YLR315W	False	False	True	True
YBR002C_YKR021W	RER2	ALY1	0.5735068	0.033	0.63555449	0.28443506018777026	25.110668	0	YBR002C	YKR021W	False	False	True	True
YHR008C_YJR011C	SOD2	YJR011C	0.28985333	0.192	0.74006263	0.23644432797672527	21.963379	0	YHR008C	YJR011C	False	False	True	True
YDL208W_YLR175W	NHP2	CBF5	0.27019855	0.019	0.55890174	0.29257031363915337	23.32529	0	YDL208W	YLR175W	False	False	False	True
YBR173C_YGR057C	UMP1	LST7	0.87008977	0.226	0.77766077	0.5934309969024827	17.106478	0	YBR173C	YGR057C	False	False	True	True
YHR057C_YMR214W	CPR2	SCJ1	0.65291905	0.538	0.90952562	0.27816211140462566	24.354702	0	YHR057C	YMR214W	False	False	True	True
YBR047W_YPL077C	FMP23	YPL077C	0.5782437	0.098	0.66728511	0.21429783661321522	19.577549	0	YBR047W	YPL077C	False	False	True	True
YNL044W_YPL199C	YIP3	YPL199C	0.70196474	0.067	0.63555449	0.2934667850500486	19.87725	0	YNL044W	YPL199C	False	False	True	True
YMR055C_YPL173W	BUB2	MRPL40	0.697465	0.225	0.77766077	0.4057260355750666	25.062391	0	YMR055C	YPL173W	False	False	True	True
YHR192W_YPR159W	LNP1	KRE6	0.90480447	0.048	0.63555449	0.500812647102349	8.170804	4	YHR192W	YPR159W	False	True	True	True
YKL155C_YPR178W	RSM22	PRP4	0.3837392	0.05	0.63555449	0.3379808177358624	22.110596	0	YKL155C	YPR178W	False	False	True	True
YFR043C_YJR058C	IRC6	APS2	0.95329666	0.245	0.77766077	0.7738297854626341	5.0504723	24	YFR043C	YJR058C	False	False	True	True
YDR142C_YNL100W	PEX7	MIC27	0.75798714	0.118	0.68635536	0.4808774892261566	16.180271	0	YDR142C	YNL100W	False	False	True	True
YFL039C_YNL078W	ACT1	NIS1	0.68982637	0.076	0.66728511	0.44630239286590845	23.096703	0	YFL039C	YNL078W	False	False	True	True
YBR233W-A_YLR313C	DAD3	SPH1	0.54067975	0.041	0.63555449	0.24970207082913837	22.724735	0	YBR233W-A	YLR313C	True	False	True	True
YLR117C_YMR163C	CLF1	INP2	0.7940089	0.105	0.68635536	0.46618073729234455	17.78093	0	YLR117C	YMR163C	False	False	True	True
YJR010C-A_YML055W	SPC1	SPC2	0.91522944	0.106	0.68635536	0.475678655045911	11.305357	0	YJR010C-A	YML055W	False	False	False	False
